question_concept_id,question,answer_concept_id,answer
43530523,About how old were you when you were first told you had chronic fatigue?,1385433,About how old were you when you were first told you had chronic fatigue? - Older adult (65-74)
43530524,About how old were you when you were first told you had concussion or loss of consciousness?,1384872,About how old were you when you were first told you had concussion or loss of consciousness? - Child (0-11)
43530524,About how old were you when you were first told you had concussion or loss of consciousness?,1384921,About how old were you when you were first told you had concussion or loss of consciousness? - Older adult (65-74)
1740576,"Including yourself, who in your family has had spinal cord injury or impairment? Select all that apply.",1740771,"Including yourself, who in your family has had spinal cord injury or impairment? - Sibling"
43530537,About how old were you when you were first told you had restless leg syndrome?,1385077,About how old were you when you were first told you had restless leg syndrome? - Adult (18-64)
43530542,About how old were you when you were first told you had obesity?,1384952,About how old were you when you were first told you had obesity? - Child (0-11)
43530290,Are you still seeing a doctor or health care provider for endometrial cancer?,43530036,Are you still seeing a doctor or health care provider for endometrial cancer? - Yes
43529272,Have you or anyone in your family ever been diagnosed with the following brain and nervous system conditions? Think only of the people you are related to by blood. Select all that apply.,43528614,"Have you or anyone in your family ever been diagnosed with the following brain and nervous system conditions? Think only of the people you are related to by blood. - Dementia (includes Alzheimer's, vascular, etc.)"
43530299,Are you still seeing a doctor or health care provider for skin cancer?,43529537,Are you still seeing a doctor or health care provider for skin cancer? - No
43530301,Are you still seeing a doctor or health care provider for thyroid cancer?,43529559,Are you still seeing a doctor or health care provider for thyroid cancer? - No
702786,"Have you or anyone in your family ever been diagnosed with the following bone, joint, and muscle conditions? Think only of the people you are related to by blood. Select all that apply.",43529863,"Have you or anyone in your family ever been diagnosed with the following bone, joint, and muscle conditions? Think only of the people you are related to by blood. - Spine"
43528773,Are you currently prescribed medications and/or receiving treatment for endocrine cancer?,43529455,Are you currently prescribed medications and/or receiving treatment for endocrine cancer? - No
43530310,Are you still seeing a doctor or health care provider for high blood pressure (hypertension)?,43530065,Are you still seeing a doctor or health care provider for high blood pressure (hypertension)? - Yes
43530311,Are you still seeing a doctor or health care provider for peripheral vascular disease?,43530101,Are you still seeing a doctor or health care provider for peripheral vascular disease? - Yes
43528778,Are you currently prescribed medications and/or receiving treatment for kidney cancer?,43529481,Are you currently prescribed medications and/or receiving treatment for kidney cancer? - No
43528780,Are you currently prescribed medications and/or receiving treatment for other cancer(s)?,43530195,Are you currently prescribed medications and/or receiving treatment for other cancer(s)? - Yes
1384538,Are you still seeing a doctor or health care provider for other hormone/endocrine condition(s)?,1384949,Are you still seeing a doctor or health care provider for other hormone/endocrine condition(s)? - No
1740636,"Including yourself, who in your family has had other hearing or eye condition(s)? Select all that apply.",1740825,"Including yourself, who in your family has had other hearing or eye condition(s)? - Son"
43530335,Are you still seeing a doctor or health care provider for type 2 diabetes?,43529568,Are you still seeing a doctor or health care provider for type 2 diabetes? - No
43530353,Are you still seeing a doctor or health care provider for kidney disease without dialysis?,43530075,Are you still seeing a doctor or health care provider for kidney disease without dialysis? - Yes
43528563,Have you or anyone in your family ever been diagnosed with the following heart and blood conditions? Think only of the people you are related to by blood. Select all that apply.,43528410,Have you or anyone in your family ever been diagnosed with the following heart and blood conditions? Think only of the people you are related to by blood. - Anemia
43528820,Are you currently prescribed medications and/or receiving treatment for type 2 diabetes?,43530223,Are you currently prescribed medications and/or receiving treatment for type 2 diabetes? - Yes
43528836,Are you currently prescribed medications and/or receiving treatment for kidney stones?,43530175,Are you currently prescribed medications and/or receiving treatment for kidney stones? - Yes
43528851,Are you currently prescribed medications and/or receiving treatment for concussion or loss of consciousness?,43529446,Are you currently prescribed medications and/or receiving treatment for concussion or loss of consciousness? - No
836772,"Including yourself, who in your family has had breast cancer? Select all that apply.",43528506,"Including yourself, who in your family has had breast cancer? - Son"
836772,"Including yourself, who in your family has had breast cancer? Select all that apply.",43528501,"Including yourself, who in your family has had breast cancer? - Daughter"
836772,"Including yourself, who in your family has had breast cancer? Select all that apply.",43528503,"Including yourself, who in your family has had breast cancer? - Grandparent"
836776,"Including yourself, who in your family has had kidney cancer? Select all that apply.",43529136,"Including yourself, who in your family has had kidney cancer? - Self"
43528634,Have you or anyone in your family ever been diagnosed with the following digestive conditions? Think only of the people you are related to by blood. Select all that apply.,1740916,Have you or anyone in your family ever been diagnosed with the following digestive conditions? Think only of the people you are related to by blood. - Bowel obstruction
836805,"Including yourself, who in your family has had schizophrenia? Select all that apply.",1384557,"Including yourself, who in your family has had schizophrenia? - Self"
836806,"Including yourself, who in your family has had Lou Gehrig's disease (amyotrophic lateral sclerosis)? Select all that apply.",43528398,"Including yourself, who in your family has had Lou Gehrig's disease (amyotrophic lateral sclerosis)? - Sibling"
836809,"Including yourself, who in your family has had multiple sclerosis (MS)? Select all that apply.",43529250,"Including yourself, who in your family has had multiple sclerosis (MS)? - Sibling"
836810,"Including yourself, who in your family has had muscular dystrophy (MD)? Select all that apply.",43529254,"Including yourself, who in your family has had muscular dystrophy (MD)? - Grandparent"
43528652,"How much do you know about illnesses or health problems for your parents, grandparents, brothers, sisters, and/or children?",43529842,"How much do you know about illnesses or health problems for your parents, grandparents, brothers, sisters, and/or children? - Some"
836812,"Including yourself, who in your family has had Parkinson's disease? Select all that apply.",43529689,"Including yourself, who in your family has had Parkinson's disease? - Grandparent"
43530447,About how old were you when you were first told you had endocrine cancer?,1385315,About how old were you when you were first told you had endocrine cancer? - Adult (18-64)
836818,"Including yourself, who in your family has had osteoarthritis? Select all that apply.",43529608,"Including yourself, who in your family has had osteoarthritis? - Grandparent"
836820,"Including yourself, who in your family has had rheumatoid arthritis (RA)? Select all that apply.",43529774,"Including yourself, who in your family has had rheumatoid arthritis (RA)? - Father"
836829,"Including yourself, who in your family has had heart valve disease? Select all that apply.",43528924,"Including yourself, who in your family has had heart valve disease? - Son"
836829,"Including yourself, who in your family has had heart valve disease? Select all that apply.",43528919,"Including yourself, who in your family has had heart valve disease? - Daughter"
43530462,About how old were you when you were first told you had a bleeding disorder?,1385083,About how old were you when you were first told you had a bleeding disorder? - Adolescent (12-17)
836833,"Including yourself, who in your family has had endometrial cancer? Select all that apply.",43528679,"Including yourself, who in your family has had endometrial cancer? - Self"
836835,"Including yourself, who in your family has had other cancer(s)? Select all that apply.",43529631,"Including yourself, who in your family has had other cancer(s)? - Son"
836835,"Including yourself, who in your family has had other cancer(s)? Select all that apply.",43529629,"Including yourself, who in your family has had other cancer(s)? - Mother"
836835,"Including yourself, who in your family has had other cancer(s)? Select all that apply.",43529626,"Including yourself, who in your family has had other cancer(s)? - Daughter"
836839,"Including yourself, who in your family has had a liver condition (e.g., cirrhosis)? Select all that apply.",43529172,Father Other Health Condition: Liver Condition
43530473,About how old were you when you were first told you had acid reflux?,1384983,About how old were you when you were first told you had acid reflux? - Adult (18-64)
43530473,About how old were you when you were first told you had acid reflux?,1385505,About how old were you when you were first told you had acid reflux? - Adolescent (12-17)
836841,Have you or anyone in your family ever been diagnosed with the following conditions? Think only of the people you are related to by blood. Select all that apply.,903087,PMI: Dont Know
836841,Have you or anyone in your family ever been diagnosed with the following conditions? Think only of the people you are related to by blood. Select all that apply.,43529825,"Have you or anyone in your family ever been diagnosed with the following conditions? Think only of the people you are related to by blood. - Skin condition (e.g., eczema, psoriasis)"
43529966,Have you or anyone in your family ever been diagnosed with the following hearing and eye conditions? Think only of the people you are related to by blood. Select all that apply.,43528735,Have you or anyone in your family ever been diagnosed with the following hearing and eye conditions? Think only of the people you are related to by blood. - Glaucoma
43530478,About how old were you when you were first told you had gall stones?,1384695,About how old were you when you were first told you had gall stones? - Adult (18-64)
43530480,About how old were you when you were first told you had a hernia?,1384768,About how old were you when you were first told you had a hernia? - Elderly (75+)
43530480,About how old were you when you were first told you had a hernia?,1384710,About how old were you when you were first told you had a hernia? - Adolescent (12-17)
836848,"Including yourself, who in your family has had other/unknown diabetes? Select all that apply.",43529671,"Including yourself, who in your family has had other/unknown diabetes? - Father"
836850,"Including yourself, who in your family has had anxiety reaction/panic disorder? Select all that apply.",1384475,"Including yourself, who in your family has had anxiety reaction/panic disorder? - Self"
836850,"Including yourself, who in your family has had anxiety reaction/panic disorder? Select all that apply.",43528415,"Including yourself, who in your family has had anxiety reaction/panic disorder? - Daughter"
43530494,About how old were you when you were first told you had cataracts?,1385430,About how old were you when you were first told you had cataracts? - Adult (18-64)
1740556,"Including yourself, who in your family has had an eating disorder? Select all that apply.",1740805,"Including yourself, who in your family has had an eating disorder? - Grandparent"
43530510,About how old were you when you were first told you had kidney disease with dialysis?,1385498,About how old were you when you were first told you had kidney disease with dialysis? - Older adult (65-74)
43528837,Are you currently prescribed medications and/or receiving treatment for kidney disease with dialysis?,43529483,Are you currently prescribed medications and/or receiving treatment for kidney disease with dialysis? - No
836812,"Including yourself, who in your family has had Parkinson's disease? Select all that apply.",43529687,"Including yourself, who in your family has had Parkinson's disease? - Daughter"
43530471,About how old were you when you were first told you had a stroke?,1385172,About how old were you when you were first told you had a stroke? - Child (0-11)
43530555,About how old were you when you were first told you had osteoporosis?,1385061,About how old were you when you were first told you had osteoporosis? - Adolescent (12-17)
1740650,"Including yourself, who in your family has had kidney disease with dialysis? Select all that apply.",1740901,"Including yourself, who in your family has had kidney disease with dialysis? - Daughter"
836770,"Including yourself, who in your family has had bone cancer? Select all that apply.",43530279,"Including yourself, who in your family has had bone cancer? - Daughter"
43530492,About how old were you when you were first told you had type 2 diabetes?,1385629,About how old were you when you were first told you had type 2 diabetes? - Child (0-11)
1384621,About how old were you when you were first told you had recurrent yeast infections?,1385074,About how old were you when you were first told you had recurrent yeast infections? - Elderly (75+)
1384438,About how old were you when you were first told you had severe acute respiratory syndrome (SARS)?,1385211,About how old were you when you were first told you had severe acute respiratory syndrome (SARS)? - Child (0-11)
1384509,About how old were you when you were first told you had polycystic ovarian syndrome?,1385272,About how old were you when you were first told you had polycystic ovarian syndrome? - Elderly (75+)
43530498,About how old were you when you were first told you had severe hearing loss or partial deafness in one or both ears?,1385055,About how old were you when you were first told you had severe hearing loss or partial deafness in one or both ears? - Elderly (75+)
43530502,About how old were you when you were first told you had chronic sinus infections?,1384732,About how old were you when you were first told you had chronic sinus infections? - Adult (18-64)
43530505,About how old were you when you were first told you had HIV/AIDS?,1385573,About how old were you when you were first told you had HIV/AIDS? - Adolescent (12-17)
1740559,"Including yourself, who in your family has had insomnia? Select all that apply.",43529114,"Including yourself, who in your family has had insomnia? - Grandparent"
1740561,"Including yourself, who in your family has had blindness, all causes? Select all that apply.",1740870,"Including yourself, who in your family has had blindness, all causes? - Daughter"
43530520,About how old were you when you were first told you had schizophrenia?,1384700,About how old were you when you were first told you had schizophrenia? - Child (0-11)
1384474,Are you still seeing a doctor or health care provider for endometriosis?,1384986,Are you still seeing a doctor or health care provider for endometriosis? - No
43530529,About how old were you when you were first told you had migraine headaches?,1385261,About how old were you when you were first told you had migraine headaches? - Older adult (65-74)
43530537,About how old were you when you were first told you had restless leg syndrome?,1384819,About how old were you when you were first told you had restless leg syndrome? - Older adult (65-74)
1740588,"Including yourself, who in your family has had other/unknown thyroid condition? Select all that apply.",43529649,"Including yourself, who in your family has had other/unknown thyroid condition? - Grandparent"
43530289,Are you still seeing a doctor or health care provider for endocrine cancer?,43529342,Are you still seeing a doctor or health care provider for endocrine cancer? - No
43530556,"About how old were you when you were first told you had spine, muscle, or bone disorders (non-cancer)?",1385528,"About how old were you when you were first told you had spine, muscle, or bone disorders (non-cancer)? - Adult (18-64)"
1740608,"Including yourself, who in your family has had acne? Select all that apply.",1740861,"Including yourself, who in your family has had acne? - Grandparent"
43530306,Are you still seeing a doctor or health care provider for coronary artery/coronary heart disease?,43530022,Are you still seeing a doctor or health care provider for coronary artery/coronary heart disease? - Yes
43528771,Are you currently prescribed medications and/or receiving treatment for cervical cancer?,43530134,Are you currently prescribed medications and/or receiving treatment for cervical cancer? - Yes
1740613,"Including yourself, who in your family has had prediabetes? Select all that apply.",1740793,"Including yourself, who in your family has had prediabetes? - Mother"
1740623,"Including yourself, who in your family has had other lung condition(s)? Select all that apply.",1740868,"Including yourself, who in your family has had other lung condition(s)? - Daughter"
43530324,Are you still seeing a doctor or health care provider for irritable bowel syndrome (IBS)?,43529378,Are you still seeing a doctor or health care provider for irritable bowel syndrome (IBS)? - No
1740629,"Including yourself, who in your family has had an enlarged prostate? Select all that apply.",43528684,"Including yourself, who in your family has had an enlarged prostate? - Self"
1384543,About how old were you when you were first told you had prediabetes?,1385583,About how old were you when you were first told you had prediabetes? - Child (0-11)
1740644,"Including yourself, who in your family has had nearsightedness? Select all that apply.",1740801,"Including yourself, who in your family has had nearsightedness? - Son"
1740644,"Including yourself, who in your family has had nearsightedness? Select all that apply.",1740943,"Including yourself, who in your family has had nearsightedness? - Sibling"
1740650,"Including yourself, who in your family has had kidney disease with dialysis? Select all that apply.",1384563,"Including yourself, who in your family has had kidney disease with dialysis? - Self"
43528812,Are you currently prescribed medications and/or receiving treatment for peptic (stomach) ulcers?,43529505,Are you currently prescribed medications and/or receiving treatment for peptic (stomach) ulcers? - No
43530352,Are you still seeing a doctor or health care provider for kidney disease with dialysis?,43530074,Are you still seeing a doctor or health care provider for kidney disease with dialysis? - Yes
43528563,Have you or anyone in your family ever been diagnosed with the following heart and blood conditions? Think only of the people you are related to by blood. Select all that apply.,903095,PMI: None
43528563,Have you or anyone in your family ever been diagnosed with the following heart and blood conditions? Think only of the people you are related to by blood. Select all that apply.,43528935,Have you or anyone in your family ever been diagnosed with the following heart and blood conditions? Think only of the people you are related to by blood. - High cholesterol
43528822,Are you currently prescribed medications and/or receiving treatment for cataracts?,43530133,Are you currently prescribed medications and/or receiving treatment for cataracts? - Yes
1740663,"Including yourself, who in your family has had bowel obstruction? Select all that apply.",1740786,"Including yourself, who in your family has had bowel obstruction? - Son"
43528826,Are you currently prescribed medications and/or receiving treatment for severe hearing loss or partial deafness in one or both ears?,43529468,Are you currently prescribed medications and/or receiving treatment for severe hearing loss or partial deafness in one or both ears? - No
1384573,"About how old were you when you were first told you had sexually transmitted infections (gonorrhea, syphilis, chlamydia)?",1385630,"About how old were you when you were first told you had sexually transmitted infections (gonorrhea, syphilis, chlamydia)? - Adolescent (12-17)"
1740671,"Including yourself, who in your family has had concussion or loss of consciousness? Select all that apply.",1384402,"Including yourself, who in your family has had concussion or loss of consciousness? - Self"
1384576,Are you still seeing a doctor or health care provider for other arthritis?,1385080,Are you still seeing a doctor or health care provider for other arthritis? - No
43530368,Are you still seeing a doctor or health care provider for epilepsy or seizure?,43530038,Are you still seeing a doctor or health care provider for epilepsy or seizure? - Yes
1740676,"Including yourself, who in your family has had kidney disease without dialysis? Select all that apply.",1740970,"Including yourself, who in your family has had kidney disease without dialysis? - Son"
1740676,"Including yourself, who in your family has had kidney disease without dialysis? Select all that apply.",1740741,"Including yourself, who in your family has had kidney disease without dialysis? - Father"
43530373,Are you still seeing a doctor or health care provider for muscular dystrophy (MD)?,43530086,Are you still seeing a doctor or health care provider for muscular dystrophy (MD)? - Yes
43530387,Are you still seeing a doctor or health care provider for vitamin D deficiency?,43530266,Are you still seeing a doctor or health care provider for vitamin D deficiency? - Yes
43528869,Are you currently prescribed medications and/or receiving treatment for obesity?,43529496,Are you currently prescribed medications and/or receiving treatment for obesity? - No
836773,"Including yourself, who in your family has had cervical cancer? Select all that apply.",43528542,"Including yourself, who in your family has had cervical cancer? - Grandparent"
