concept_id,"concept_name","concept_code","survey_name",survey_concept_id,count_value,sub,"path",is_parent_question,generate_counts,question_order_number
1384396,"Hearing Vision Conditions: Hearing Loss","HearingVisionConditions_HearingLoss","Family Medical History",43528698,20,1,"43529966.1384396.1384396",0,0,0
1384398,"Are you currently prescribed medications and/or receiving treatment for Reoccurring yeast infection?","InfectiousDiseases_RxMedsforYeastInfection","Personal Medical History",43529712,0,1,"1384662.1384520.1384398",1,1,9
1384399,"About how old were you when you were first told you had Other bone, joint or muscle condition?","SkeletalMuscle_HowOldOtherCondition","Personal Medical History",43529712,0,1,"43528757.1384471.1384399",1,1,7
1384401,"Are you still seeing a doctor or health care provider for Hepatitis A?","InfectiousDiseases_HepatitisACurrently","Personal Medical History",43529712,0,1,"1384662.1384581.1384401",1,1,9
1384404,"Cancer Conditions: Blood Cancer","CancerConditions_BloodCancer","Family Medical History",43528698,20,1,"43528515.1384404.1384404",0,0,0
1384405,"Digestive System Conditions: Peptic Ulcers","DigestiveSystemConditions_PepticUlcers","Family Medical History",43528698,20,1,"43528634.1384405.1384405",0,0,0
1384407,"Other Conditions: Fibroids","OtherConditions_Fibroids","Family Medical History",43528698,20,1,"43529638.1384407.1384407",0,0,0
1384409,"Are you still seeing a doctor or health care provider for any other diagnosis?","Other_OtherDiagnosisCurrently","Personal Medical History",43529712,0,1,"1384430.1384631.1384409",1,1,12
1384410,"Are you still seeing a doctor or health care provider for Other bone, joint or muscle condition?","SkeletalMuscular_OtherConditionCurrently","Personal Medical History",43529712,0,1,"43528757.1384471.1384410",1,1,7
1384411,"Digestive System Conditions: Diverticulosis","DigestiveSystemConditions_Diverticulosis","Family Medical History",43528698,20,1,"43528634.1384411.1384411",0,0,0
1384413,"Mental Health Condition: Drug Use","MentalHealthCondition_DrugUse","Family Medical History",43528698,20,1,"43529217.1384413.1384413",0,0,0
1384416,"About how old were you when you were first told you had Shingles?","InfectiousDiseases_HowOldWereYouShingles","Personal Medical History",43529712,0,1,"1384662.1384610.1384416",1,1,9
1384418,"Are you still seeing a doctor or health care provider for Dengue fever?","InfectiousDiseases_DengueFeverCurrently","Personal Medical History",43529712,0,1,"1384662.1384454.1384418",1,1,9
1384420,"Are you currently prescribed medications and/or receiving treatment for Other Heart or Blood Condition?","Circulatory_RxMedsforOtherHeartBlood","Personal Medical History",43529712,0,1,"1384522.1384638.1384420",1,1,1
1384422,"Skeletal Muscular Conditions: Pseudogout","SkeletalMuscularConditions_Pseudogout","Family Medical History",43528698,20,1,"702786.1384422.1384422",0,0,0
1384423,"Are you still seeing a doctor or health care provider for Other Heart or Blood Condition?","Circulatory_OtherHeartBloodCurrently","Personal Medical History",43529712,0,1,"1384522.1384638.1384423",1,1,1
1384424,"Are you currently prescribed medications and/or receiving treatment for Zika virus?","InfectiousDiseases_RxMedsforZikaVirus","Personal Medical History",43529712,0,1,"1384662.1384527.1384424",1,1,9
1384425,"About how old were you when you were first told you had Other mental health or substance use condition?","MentalHealthCondition_OtherHowOld","Personal Medical History",43529712,0,1,"1384495.1384549.1384425",1,1,11
1384426,"About how old were you when you were first told you had Cerebral palsy?","NervousSystem_HowOldWereYouCerebralPalsy","Personal Medical History",43529712,0,1,"1384526.1384415.1384426",1,1,10
1384430,"Has a doctor or health care provider ever told you that you have…? (select all that apply)","Other_OtherConditions","Personal Medical History",43529712,0,0,"1384430",1,1,12
1384431,"Are you still seeing a doctor or health care provider for Lyme disease?","InfectiousDiseases_LymeDiseaseCurrently","Personal Medical History",43529712,0,1,"1384662.1384449.1384431",1,1,9
1384432,"About how old were you when you were first told you had Lyme disease?","InfectiousDiseases_HowOldWereYouLymeDisease","Personal Medical History",43529712,0,1,"1384662.1384449.1384432",1,1,9
1384433,"Are you currently prescribed medications and/or receiving treatment for Osteoarthritis?","SkeletalMuscular_RxMedsforOsteoarthritis","Personal Medical History",43529712,0,1,"43528757.1384547.1384433",1,1,7
1384437,"Are you currently prescribed medications and/or receiving treatment for Hypertension (high blood pressure)?","Circulatory_PrescribedMedsforHypertension","Personal Medical History",43529712,0,1,"1384522.43529063.1384437",1,1,1
1384438,"About how old were you when you were first told you had Severe acute respiratory syndrome (SARS)?","InfectiousDiseases_HowOldWereYouSARS","Personal Medical History",43529712,0,1,"1384662.1384406.1384438",1,1,9
1384439,"Digestive System Conditions: Gall Stones","DigestiveSystemConditions_GallStones","Family Medical History",43528698,20,1,"43528634.1384439.1384439",0,0,0
1384442,"Are you currently prescribed medications and/or receiving treatment for Chickenpox?","InfectiousDiseases_RxMedsforChickenpox","Personal Medical History",43529712,0,1,"1384662.1384578.1384442",1,1,9
1384445,"Digestive System Conditions: Colon Polyps","DigestiveSystemConditions_ColonPolyps","Family Medical History",43528698,20,1,"43528634.1384445.1384445",0,0,0
1384447,"Are you currently prescribed medications and/or receiving treatment for Hepatitis B?","InfectiousDiseases_RxMedsforHepatitisB","Personal Medical History",43529712,0,1,"1384662.1384429.1384447",1,1,9
1384448,"About how old were you when you were first told you had Peripheral vascular disease?","Circulatory_HowOldWereYouPeripheralVascularDisease","Personal Medical History",43529712,0,1,"1384522.1384469.43530311",1,1,1
1384451,"Are you currently prescribed medications and/or receiving treatment for Lou Gehrig’s Disease (Amyotrophic Lateral Sclerosis or ALS)?","NervousSystem_RxMedsforLouGehrigsDisease","Personal Medical History",43529712,0,1,"1384526.1384607.1384451",1,1,10
1384456,"About how old were you when you were first told you had Other brain or nervous system condition?","NervousSystem_HowOldOtherCondition","Personal Medical History",43529712,0,1,"1384526.1384582.1384456",1,1,10
1384458,"Mental Health Condition: Autism Spectrum","MentalHealthCondition_AutismSpectrum","Family Medical History",43528698,20,1,"43529217.1384458.1384458",0,0,0
1384459,"Are you still seeing a doctor or health care provider for Zika virus?","InfectiousDiseases_ZikaVirusCurrently","Personal Medical History",43529712,0,1,"1384662.1384527.1384459",1,1,9
1384460,"Are you still seeing a doctor or health care provider for Other digestive condition?","Digestive_OtherDigestiveConditionCurrently","Personal Medical History",43529712,0,1,"1384390.1384594.1384460",1,1,4
1384462,"About how old were you when you were first told you had Other Heart or Blood Condition?","Circulatory_HowOldWereYouOtherHeartBlood","Personal Medical History",43529712,0,1,"1384522.1384638.1384462",1,1,1
1384463,"Are you still seeing a doctor or health care provider for Sexually transmitted infections (Gonorrhea, Syphilis, Chlamydia)?","InfectiousDiseases_STIsCurrently","Personal Medical History",43529712,0,1,"1384662.1384453.1384463",1,1,9
1384465,"Are you still seeing a doctor or health care provider for Reoccurring yeast infection?","InfectiousDiseases_YeastInfectionCurrently","Personal Medical History",43529712,0,1,"1384662.1384520.1384465",1,1,9
1384466,"About how old were you when you were first told you had Ovarian cancer?","Cancer_HowOldWereYouOvarianCancer","Personal Medical History",43529712,0,1,"43528760.1384488.1384466",1,1,3
1384467,"Circulatory Conditions: Sickle Cell Disease","CirculatoryConditions_SickleCellDisease","Family Medical History",43528698,20,1,"1384639.1384467.1384467",0,0,0
1384468,"Are you currently prescribed medications and/or receiving treatment for Other digestive condition?","Digestive_RxMedsforOtherDigestiveCondition","Personal Medical History",43529712,0,1,"1384390.1384594.1384468",1,1,4
1384469,"Circulatory Conditions: Peripheral Vascular Disease","CirculatoryConditions_PeripheralVascularDisease","Family Medical History",43528698,20,1,"1384639.1384469.1384469",0,0,0
1384470,"About how old were you when you were first told you had Other arthritis?","SkeletalMuscular_HowOldWereYouOtherArthritis","Personal Medical History",43529712,0,1,"43528757.1384452.1384470",1,1,7
1384472,"Digestive System Conditions: Crohn's Disease","DigestiveSystemConditions_CrohnsDisease","Family Medical History",43528698,20,1,"43528634.1384472.1384472",0,0,0
1384474,"Are you still seeing a doctor or health care provider for Endometriosis?","Other_EndometriosisCurrently","Personal Medical History",43529712,0,1,"1384430.1385329.1384474",1,1,12
1384475,"Mental Health Condition: Anxiety","MentalHealthCondition_Anxiety","Family Medical History",43528698,20,1,"43529217.1384475.1384475",0,0,0
1384476,"Are you currently prescribed medications and/or receiving treatment for Other lung condition?","Respiratory_RxMedsforOtherLungCondition","Personal Medical History",43529712,0,1,"1384592.1384564.1384476",1,1,2
1384478,"Are you currently prescribed medications and/or receiving treatment for Other arthritis?","SkeletalMuscular_RxMedsforOtherArthritis","Personal Medical History",43529712,0,1,"43528757.1384452.1384478",1,1,7
1384479,"About how old were you when you were first told you had Rheumatoid arthritis?","SkeletalMuscular_HowOldWereYouRheumatoidArthritis","Personal Medical History",43529712,0,1,"43528757.1384653.1384479",1,1,7
1384480,"Are you still seeing a doctor or health care provider for Drug use disorder?","MentalHealth_DrugUseDisorderCurrently","Personal Medical History",43529712,0,1,"1384495.1384413.1384480",1,1,11
1384482,"Are you currently prescribed medications and/or receiving treatment for Cerebral palsy?","NervousSystem_RxMedsforCerebralPalsy","Personal Medical History",43529712,0,1,"1384526.1384415.1384482",1,1,10
1384483,"Are you still seeing a doctor or health care provider for Ovarian cancer?","Cancer_OvarianCancerCurrently","Personal Medical History",43529712,0,1,"43528760.1384488.1384483",1,1,3
1384486,"Are you currently prescribed medications and/or receiving treatment for Autism spectrum disorder?","MentalHealth_RxMedsforAutism","Personal Medical History",43529712,0,1,"1384495.1384458.1384486",1,1,11
1384487,"Has a doctor or health care provider ever told you that you have or had any of the following Kidney conditions?  (select all that apply)","Kidney_KidneyConditions","Personal Medical History",43529712,0,0,"1384487",1,1,6
1384488,"Cancer Conditions: Ovarian Cancer","CancerConditions_OvarianCancer","Family Medical History",43528698,20,1,"43528515.1384488.1384488",0,0,0
1384489,"Are you still seeing a doctor or health care provider for Other infectious disease?","InfectiousDiseases_OtherInfectiousDiseaseCurrently","Personal Medical History",43529712,0,1,"1384662.1384484.1384489",1,1,9
1384490,"Are you still seeing a doctor or health care provider for Alcohol use disorder?","MentalHealth_AlcoholDisorderCurrently","Personal Medical History",43529712,0,1,"1384495.1384600.1384490",1,1,11
1384492,"About how old were you when you were first told you had Zika virus?","InfectiousDiseases_HowOldWereYouZikaVirus","Personal Medical History",43529712,0,1,"1384662.1384527.1384492",1,1,9
1384493,"Are you still seeing a doctor or health care provider for Other kidney condition?","Kidney_OtherKidneyConditionCurrently","Personal Medical History",43529712,0,1,"1384487.1384646.1384493",1,1,6
1384494,"About how old were you when you were first told you had Celiac disease?","Digestive_HowOldWereYouCeliacDisease","Personal Medical History",43529712,0,1,"1384390.1384519.1384494",1,1,4
1384495,"Has a doctor or health care provider ever told you that you have or had any of the following Mental health and substance use conditions? (select all that apply)","MentalHealth_MentalHealthCondition","Personal Medical History",43529712,0,0,"1384495",1,1,11
1384497,"Circulatory Conditions: Coronary Artery","CirculatoryConditions_CoronaryArtery","Family Medical History",43528698,20,1,"1384639.1384497.1384497",0,0,0
1384501,"Are you still seeing a doctor or health care provider for PCOS (polycystic ovarian syndrome)?","Other_PCOSCurrently","Personal Medical History",43529712,0,1,"1384430.1384618.1384501",1,1,12
1384505,"Are you currently prescribed medications and/or receiving treatment for Shingles?","InfectiousDiseases_RxMedsforShingles","Personal Medical History",43529712,0,1,"1384662.1384610.1384505",1,1,9
1384506,"Are you still seeing a doctor or health care provider for Hepatitis B?","InfectiousDiseases_HepatitisBCurrently","Personal Medical History",43529712,0,1,"1384662.1384429.1384506",1,1,9
1384507,"Are you currently prescribed medications and/or receiving treatment for PCOS (polycystic ovarian syndrome)?","Other_RxMedsforPCOS","Personal Medical History",43529712,0,1,"1384430.1384618.1384507",1,1,12
1384509,"About how old were you when you were first told you had PCOS (polycystic ovarian syndrome)?","Other_HowOldWereYouPCOS","Personal Medical History",43529712,0,1,"1384430.1384618.1384509",1,1,12
1384511,"Are you still seeing a doctor or health care provider for Shingles?","InfectiousDiseases_ShinglesCurrently","Personal Medical History",43529712,0,1,"1384662.1384610.1384511",1,1,9
1384513,"About how old were you when you were first told you had Pseudogout?","SkeletalMuscular_HowOldWereYouPseudogout","Personal Medical History",43529712,0,1,"43528757.1384422.1384513",1,1,7
1384514,"About how old were you when you were first told you had Drug use disorder?","MentalHealth_HowOldWereYouDrugUseDisorder","Personal Medical History",43529712,0,1,"1384495.1384413.1384514",1,1,11
1384517,"Are you currently prescribed medications and/or receiving treatment for Other infectious disease?","InfectiousDisease_RxOtherDisease","Personal Medical History",43529712,0,1,"1384662.1384484.1384517",1,1,9
1384518,"Are you currently prescribed medications and/or receiving treatment for Alcohol use disorder?","MentalHealth_RxMedsforAlcoholDisorder","Personal Medical History",43529712,0,1,"1384495.1384600.1384625",1,1,11
1384519,"Digestive System Conditions: Celiac Disease","DigestiveSystemConditions_CeliacDisease","Family Medical History",43528698,20,1,"43528634.1384519.1384519",0,0,0
1384522,"Has a doctor or health care provider ever told you that you have or had any of the following circulatory conditions? (select all that apply)","Circulatory_CirculatoryConditions","Personal Medical History",43529712,0,0,"1384522",1,1,1
1384526," Has a doctor or health care provider ever told you that you have or had any of the following Brain and nervous system conditions?","NervousSystem_NervousSystemCondition","Personal Medical History",43529712,0,0,"1384526",1,1,10
1384528,"Are you currently prescribed medications and/or receiving treatment for Other brain or nervous system condition?","NervousSystem_RxMedsforOtherBrainNervousSystem","Personal Medical History",43529712,0,1,"1384526.1384582.1384528",1,1,10
1384529,"Are you currently prescribed medications and/or receiving treatment for Ovarian cancer?","Cancer_RxMedsforOvarianCancer","Personal Medical History",43529712,0,1,"43528760.1384488.1384529",1,1,3
1384530,"Are you still seeing a doctor or health care provider for Reactions to anesthesia (such as hyperthermia)?","Other_ReactionsAnesthesiaCurrently","Personal Medical History",43529712,0,1,"1384430.1384392.1384530",1,1,12
1384532,"Are you still seeing a doctor or health care provider for Prediabetes?","Endocrine_PrediabetesCurrently","Personal Medical History",43529712,0,1,"43528758.43529727.1384532",1,1,5
1384535,"Are you currently prescribed medications and/or receiving treatment for Hepatitis A?","InfectiousDiseases_RxMedsforHepatitisA","Personal Medical History",43529712,0,1,"1384662.1384581.1384535",1,1,9
1384537,"Are you still seeing a doctor or health care provider for Severe acute respiratory syndrome (SARS)?","InfectiousDiseases_SARSCurrently","Personal Medical History",43529712,0,1,"1384662.1384406.1384537",1,1,9
1384538,"Are you still seeing a doctor or health care provider for Other hormone/endocrine condition?","Endocrine_OtherHormone/EndocrineConditionCurrently","Personal Medical History",43529712,0,1,"43528758.1384666.1384538",1,1,5
1384539,"Are you still seeing a doctor or health care provider for Other mental health or substance use condition?","MentalHealth_OtherConditionCurrently","Personal Medical History",43529712,0,1,"1384495.1384549.1384539",1,1,11
1384540,"Are you currently prescribed medications and/or receiving treatment for Rheumatoid arthritis?","SkeletalMuscular_RxMedsforRheumatoidArthritis","Personal Medical History",43529712,0,1,"43528757.1384653.1384540",1,1,7
1384542,"About how old were you when you were first told you had Fibroids?","Other_HowOldWereYouFibroids","Personal Medical History",43529712,0,1,"1384430.1384407.1384542",1,1,12
1384543,"About how old were you when you were first told you had Prediabetes?","Endocrine_HowOldWereYouPrediabetes","Personal Medical History",43529712,0,1,"43528758.43529727.1384543",1,1,5
1384548,"Digestive System Conditions: Irritable Bowel","DigestiveSystemConditions_IrritableBowel","Family Medical History",43528698,20,1,"43528634.1384548.1384548",0,0,0
1384552,"About how old were you when you were first told you had Dengue fever?","InfectiousDiseases_HowOldWereYouDengueFever","Personal Medical History",43529712,0,1,"1384662.1384454.1384552",1,1,9
1384553,"Are you still seeing a doctor or health care provider for Chickenpox?","InfectiousDiseases_ChickenpoxCurrently","Personal Medical History",43529712,0,1,"1384662.1384578.1384553",1,1,9
1384554,"About how old were you when you were first told you had Astigmatism?","HearingVision_HowOldWereYouAstigmatism","Personal Medical History",43529712,0,1,"43528759.1384648.1384554",1,1,8
1384556,"Are you still seeing a doctor or health care provider for Other hearing or eye condition?","HearingVision_OtherHearingEyeConditionCurrently","Personal Medical History",43529712,0,1,"43528759.1384428.1384556",1,1,8
1384557,"Mental Health Condition: Schizophrenia","MentalHealthCondition_Schizophrenia","Family Medical History",43528698,20,1,"43529217.1384557.1384557",0,0,0
1384560,"Are you still seeing a doctor or health care provider for Other brain or nervous system condition?","NervousSystem_OtherBrainNervousSystemCurrently","Personal Medical History",43529712,0,1,"1384526.1384582.1384560",1,1,10
1384566,"Are you currently prescribed medications and/or receiving treatment for Prediabetes?","Endocrine_RxMedsforPrediabetes","Personal Medical History",43529712,0,1,"43528758.43529727.1384566",1,1,5
1384567,"Respiratory Conditions: Chronic Lung","RespiratoryConditions_ChronicLung","Family Medical History",43528698,20,1,"43529767.1384567.1384567",0,0,0
1384569,"About how old were you when you were first told you had Reactions to anesthesia (such as hyperthermia)?","Other_HowOldWereYouReactionsAnesthesia","Personal Medical History",43529712,0,1,"1384430.1384392.1384569",1,1,12
1384570,"Are you still seeing a doctor or health care provider for Astigmatism?","HearingVision_AstigmatismCurrently","Personal Medical History",43529712,0,1,"43528759.1384648.1384570",1,1,8
1384572,"Are you currently prescribed medications and/or receiving treatment for Reactions to anesthesia (such as hyperthermia)?","Other_RxMedsforReactionsAnesthesia","Personal Medical History",43529712,0,1,"1384430.1384392.1384572",1,1,12
1384573,"About how old were you when you were first told you had Sexually transmitted infections (Gonorrhea, Syphilis, Chlamydia)?","InfectiousDiseases_HowOldWereYouSTIs","Personal Medical History",43529712,0,1,"1384662.1384453.1384573",1,1,9
1384574,"About how old were you when you were first told you had Autism spectrum disorder?","MentalHealth_HowOldWereYouAutism","Personal Medical History",43529712,0,1,"1384495.1384458.1384574",1,1,11
1384576,"Are you still seeing a doctor or health care provider for Other arthritis?","SkeletalMuscular_OtherArthritisCurrently","Personal Medical History",43529712,0,1,"43528757.1384452.1384576",1,1,7
1384583,"Digestive System Conditions: Liver Condition","DigestiveSystemConditions_LiverCondition","Family Medical History",43528698,20,1,"43528634.1384583.1384583",0,0,0
1384584,"Are you currently prescribed medications and/or receiving treatment for Other mental health or substance use condition?","MentalHealth_RxMedsOtherCondition","Personal Medical History",43529712,0,1,"1384495.1384549.1384584",1,1,11
1384587,"Are you currently prescribed medications and/or receiving treatment for Chronic Lung Disease?","Respiratory_RxMedsforChronicLungDisease","Personal Medical History",43529712,0,1,"1384592.1384567.1384587",1,1,2
1384589,"Are you currently prescribed medications and/or receiving treatment for any other diagnosis?","Other_RxMedsforOtherDiagnosis","Personal Medical History",43529712,0,1,"1384430.1384631.1384589",1,1,12
1384592,"Has a doctor or health care provider ever told you that you have or had any of the following respiratory conditions? (select all that apply)","Respiratory_RespiratoryConditions","Personal Medical History",43529712,0,0,"1384592",1,1,2
1384593,"Are you still seeing a doctor or health care provider for Rheumatoid arthritis?","SkeletalMuscular_RheumatoidArthritisCurrently","Personal Medical History",43529712,0,1,"43528757.1384653.1384593",1,1,7
1384596,"Are you still seeing a doctor or health care provider for West Nile virus?","InfectiousDiseases_WestNileVirusCurrently","Personal Medical History",43529712,0,1,"1384662.1384408.1384596",1,1,9
1384597,"Are you still seeing a doctor or health care provider for Cerebral palsy?","NervousSystem_CerebralPalsyCurrently","Personal Medical History",43529712,0,1,"1384526.1384415.1384597",1,1,10
1384599,"Nervous System Condition: Neuropathy","NervousSystemCondition_Neuropathy","Family Medical History",43528698,20,1,"43529272.1384599.1384599",0,0,0
1384600,"Mental Health Condition: Alcohol Use","MentalHealthCondition_AlcoholUse","Family Medical History",43528698,20,1,"43529217.1384600.1384600",0,0,0
1384601,"Are you currently prescribed medications and/or receiving treatment for Drug use disorder?","MentalHealth_RxMedsforDrugUseDisorder","Personal Medical History",43529712,0,1,"1384495.1384413.1384601",1,1,11
1384602,"Are you currently prescribed medications and/or receiving treatment for West Nile virus?","InfectiousDiseases_RxMedsforWestNileVirus","Personal Medical History",43529712,0,1,"1384662.1384408.1384602",1,1,9
1384603,"Digestive System Conditions: Acid Reflux","DigestiveSystemConditions_AcidReflux","Family Medical History",43528698,20,1,"43528634.1384603.1384603",0,0,0
1384604,"Digestive System Conditions: Ulcerative Colitis","DigestiveSystemConditions_UlcerativeColitis","Family Medical History",43528698,20,1,"43528634.1384604.1384604",0,0,0
1384605,"Are you still seeing a doctor or health care provider for Fibroids?","Other_FibroidsCurrently","Personal Medical History",43529712,0,1,"1384430.1384407.1384605",1,1,12
1384608,"Are you still seeing a doctor or health care provider for Chronic Lung Disease?","Respiratory_ChronicLungDiseaseCurrently","Personal Medical History",43529712,0,1,"1384592.1384567.1384608",1,1,2
1384609,"Are you currently prescribed medications and/or receiving treatment for Celiac disease?","Digestive_RxMedsforCeliacDisease","Personal Medical History",43529712,0,1,"1384390.1384519.1384609",1,1,4
1384611,"About how old were you when you were first told you had Osteoarthritis?","SkeletalMuscular_HowOldWereYouOsteoarthritis","Personal Medical History",43529712,0,1,"43528757.1384547.1384611",1,1,7
1384612,"Are you currently prescribed medications and/or receiving treatment for Other kidney condition?","Kidney_RxMedsforOtherKidneyCondition","Personal Medical History",43529712,0,1,"1384487.1384646.1384612",1,1,6
1384616,"Nervous System Condition: Restless Leg Syndrome","NervousSystemCondition_RestlessLegSyndrome","Family Medical History",43528698,20,1,"43529272.1384616.1384616",0,0,0
1384617,"Are you still seeing a doctor or health care provider for Osteoarthritis?","SkeletalMuscular_OsteoarthritisCurrently","Personal Medical History",43529712,0,1,"43528757.1384547.1384617",1,1,7
1384618,"Other Conditions: PCOS","OtherConditions_PCOS","Family Medical History",43528698,20,1,"43529638.1384618.1384618",0,0,0
1384619,"About how old were you when you were first told you had Hepatitis A?","InfectiousDiseases_HowOldWereYouHepatitisA","Personal Medical History",43529712,0,1,"1384662.1384581.1384619",1,1,9
1384620,"About how old were you when you were first told you had Hepatitis B?","InfectiousDiseases_HowOldWereYouHepatitisB","Personal Medical History",43529712,0,1,"1384662.1384429.1384620",1,1,9
1384621,"About how old were you when you were first told you had Reoccurring yeast infection?","InfectiousDiseases_HowOldWereYouYeastInfection","Personal Medical History",43529712,0,1,"1384662.1384520.1384621",1,1,9
1384624,"Are you currently prescribed medications and/or receiving treatment for Endometriosis?","Other_RxMedsforEndometriosis","Personal Medical History",43529712,0,1,"1384430.1385329.1384624",1,1,12
1384625,"About how old were you when you were first told you had Alcohol use disorder?","MentalHealth_HowOldWereYouAlcoholDisorder","Personal Medical History",43529712,0,1,"1384495.1384600.1384625",1,1,11
1384626,"Are you currently prescribed medications and/or receiving treatment for Pseudogout?","SkeletalMuscular_RxMedsforPseudogout","Personal Medical History",43529712,0,1,"43528757.1384422.1384626",1,1,7
1384627,"Are you currently prescribed medications and/or receiving treatment for Dengue fever?","InfectiousDiseases_RxMedsforDengueFever","Personal Medical History",43529712,0,1,"1384662.1384454.1384627",1,1,9
1384628,"Are you currently prescribed medications and/or receiving treatment for Lyme disease?","InfectiousDiseases_RxMedsforLymeDisease","Personal Medical History",43529712,0,1,"1384662.1384449.1384628",1,1,9
1384630,"Are you still seeing a doctor or health care provider for Autism spectrum disorder?","MentalHealth_AutismCurrently","Personal Medical History",43529712,0,1,"1384495.1384458.1384630",1,1,11
1384633,"Are you still seeing a doctor or health care provider for Lou Gehrig’s Disease (Amyotrophic Lateral Sclerosis or ALS)?","NervousSystem_LouGehrigsDiseaseCurrently","Personal Medical History",43529712,0,1,"1384526.1384607.1384633",1,1,10
1384635,"About how old were you when you were first told you had Other lung condition?","Respiratory_HowOldWereYouOtherLungCondition","Personal Medical History",43529712,0,1,"1384592.1384564.1384635",1,1,2
1384636,"About how old were you when you were first told you had Endometriosis?","Other_HowOldWereYouEndometriosis","Personal Medical History",43529712,0,1,"1384430.1385329.1384636",1,1,12
1384637,"About how old were you when you were first told you had Chickenpox?","InfectiousDiseases_HowOldWereYouChickenpox","Personal Medical History",43529712,0,1,"1384662.1384578.1384637",1,1,9
1384639,"Circulatory: Heartand Blood","Circulatory_HeartandBlood","Family Medical History",43528698,20,0,"1384639",0,0,3
1384641,"Are you currently prescribed medications and/or receiving treatment for Other hormone/endocrine condition?","EndocrineCondition_RxMeds","Personal Medical History",43529712,0,1,"43528758.1384666.1384641",1,1,5
1384642,"Are you currently prescribed medications and/or receiving treatment for Severe acute respiratory syndrome (SARS)?","InfectiousDiseases_RxMedsforSARS","Personal Medical History",43529712,0,1,"1384662.1384406.1384642",1,1,9
